path_paras,trial,model_name,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A10_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A10_test,A20_test
tanh-13-RMSE,0,LCO-ELM,"{'epoch': 1000, 'pop_size': 50, 'r1': 2.35}",693.562,693.613,1.02762,1.71636,0.97186,0.9445,0.15135,0.9445,0.96047,0.90998,217.18222,94.45044,0.46361,0.7498,1.10032,1.99427,0.93594,0.87374,0.14138,0.87374,0.91931,0.82517,3.42749,87.44102,0.52613,0.78049
tanh-13-RMSE,0,SMA-ELM,"{'epoch': 1000, 'pop_size': 50, 'p_t': 0.03}",740.696,740.716,1.05473,1.69165,0.97267,0.94609,0.16604,0.94609,0.96134,0.88625,224.87662,94.60907,0.41374,0.68847,1.30687,2.19819,0.92695,0.8466,0.18278,0.8466,0.89253,0.77622,-97.7876,85.24254,0.37631,0.70035
tanh-13-RMSE,0,SOA-ELM,"{'epoch': 1000, 'pop_size': 50, 'fc': 2}",695.32,695.343,1.06557,1.73821,0.97112,0.94308,0.15914,0.94308,0.95886,0.87889,221.44598,94.30822,0.44726,0.72527,1.23577,2.09466,0.93202,0.86071,0.16961,0.86071,0.9059,0.8007,-57.7967,86.40852,0.44599,0.73171
tanh-13-RMSE,0,TSA-ELM,"{'epoch': 1000, 'pop_size': 50}",703.969,704.018,0.95455,1.5384,0.97745,0.95542,0.14837,0.95542,0.96812,0.88543,182.9164,95.54155,0.46443,0.75879,1.16739,2.0534,0.94189,0.86615,0.15257,0.86615,0.91914,0.81119,-83.67995,87.0614,0.49826,0.75261
tanh-13-RMSE,0,AEO-ELM,"{'epoch': 1000, 'pop_size': 50}",669.459,669.471,1.01587,1.63355,0.97454,0.94973,0.1601,0.94973,0.96385,0.89853,207.48916,94.97301,0.44481,0.72527,1.21854,2.21333,0.92809,0.84448,0.15105,0.84448,0.91883,0.81469,-15.58296,84.62214,0.54007,0.75958
tanh-13-RMSE,0,HS-ELM,"{'epoch': 1000, 'pop_size': 50, 'c_r': 0.95, 'pa_r': 0.05}",708.778,708.819,0.89185,1.4489,0.98003,0.96045,0.1364,0.96045,0.97179,0.89444,165.23905,96.04523,0.49469,0.79313,1.24566,2.29776,0.92801,0.83239,0.1601,0.83239,0.9052,0.83217,-82.90402,83.72779,0.4669,0.75261
tanh-13-RMSE,0,GBO-ELM,"{'epoch': 1000, 'pop_size': 50, 'pr': 0.5, 'beta_min': 0.2, 'beta_max': 1.2}",823.341,823.399,0.90567,1.46045,0.9797,0.95982,0.14029,0.95982,0.97118,0.88134,169.76269,95.98192,0.48978,0.77596,1.23998,2.22644,0.92873,0.84264,0.15831,0.84264,0.91528,0.79371,-46.24276,84.54772,0.43902,0.75958
tanh-13-RMSE,0,PSS-ELM,"{'epoch': 1000, 'pop_size': 50, 'acceptance_rate': 0.9, 'sampling_method': 'LHS'}",419.036,419.042,1.02515,1.58755,0.97597,0.95252,0.17814,0.95252,0.96584,0.86498,228.32735,95.25211,0.4211,0.68357,1.14646,1.99577,0.94092,0.87355,0.15698,0.87355,0.92573,0.81469,-58.88529,87.65321,0.47387,0.7561
tanh-13-RMSE,0,INFO-ELM,"{'epoch': 1000, 'pop_size': 50}",380.389,380.41,0.91908,1.44915,0.98002,0.96044,0.14484,0.96044,0.97173,0.88789,175.84858,96.04388,0.4677,0.77351,1.20463,2.07559,0.93797,0.86324,0.16053,0.86324,0.91405,0.81469,-96.88595,86.84115,0.4878,0.73868
tanh-13-RMSE,0,RUN-ELM,"{'epoch': 1000, 'pop_size': 50}",313.69,313.704,0.90054,1.4391,0.9803,0.96099,0.13997,0.96099,0.97214,0.90344,168.38394,96.09852,0.49223,0.78414,1.23805,2.22847,0.93253,0.84235,0.1611,0.84235,0.90697,0.82517,-101.28026,84.82619,0.45993,0.75261
tanh-13-RMSE,1,GA-ELM,"{'epoch': 1000, 'pop_size': 50, 'pc': 0.85, 'pm': 0.05}",736.427,736.443,0.94818,1.50769,0.97835,0.95718,0.15438,0.95718,0.96903,0.88052,179.97798,95.71783,0.45626,0.73508,1.2041,2.14669,0.9341,0.85371,0.15806,0.85371,0.91042,0.81469,-98.86219,85.92045,0.49129,0.77003
tanh-13-RMSE,1,CRO-ELM,"{'epoch': 1000, 'pop_size': 50, 'po': 0.85, 'Fb': 0.9, 'Fa': 0.1, 'Fd': 0.1, 'Pd': 0.1, 'GCR': 0.1, 'gamma_min': 0.02, 'gamma_max': 0.2, 'n_trials': 3}",393.491,393.5,0.89656,1.44153,0.98023,0.96085,0.13881,0.96085,0.97206,0.8928,167.96159,96.08537,0.48487,0.77105,1.20349,2.14997,0.93269,0.85326,0.15505,0.85326,0.92164,0.80769,-30.51451,85.53264,0.49129,0.74216
tanh-13-RMSE,1,AGTO-ELM,"{'epoch': 1000, 'pop_size': 50, 'p1': 0.03, 'p2': 0.8, 'beta': 3.0}",693.763,693.802,0.92952,1.47976,0.97916,0.95875,0.15332,0.95875,0.97058,0.88134,187.24548,95.87497,0.4628,0.7408,1.1721,2.08222,0.9379,0.86236,0.15484,0.86236,0.91616,0.80769,-90.59931,86.7168,0.50523,0.75958
tanh-13-RMSE,1,DMOA-ELM,"{'epoch': 1000, 'pop_size': 50, 'peep': 2}",705.267,705.307,0.9614,1.50141,0.97854,0.95753,0.16513,0.95753,0.96992,0.86743,197.23394,95.75337,0.43908,0.71137,1.1871,2.07425,0.94064,0.86341,0.15511,0.86341,0.91406,0.83217,-107.93515,86.93179,0.46341,0.78397
tanh-13-RMSE,1,HGS-ELM,"{'epoch': 1000, 'pop_size': 50, 'PUP': 0.03, 'LH': 1000}",707.449,707.493,0.98391,1.62742,0.97473,0.95011,0.148,0.95011,0.96427,0.8928,200.00477,95.01064,0.46443,0.7498,1.19911,2.13447,0.93042,0.85537,0.16133,0.85537,0.90891,0.79021,-63.95211,85.89142,0.49477,0.74216
tanh-13-RMSE,1,WOA-ELM,"{'epoch': 1000, 'pop_size': 50}",689.111,689.16,0.94387,1.52419,0.97787,0.95624,0.14429,0.95624,0.96887,0.89444,184.76702,95.62356,0.45953,0.75552,1.22184,2.10841,0.9363,0.85888,0.16486,0.85888,0.9023,0.7972,-124.07626,86.61076,0.43554,0.74216
tanh-13-RMSE,1,NRO-ELM,"{'epoch': 1000, 'pop_size': 50}",847.915,847.95,0.94069,1.4673,0.97951,0.95944,0.1504,0.95944,0.97141,0.88298,187.49101,95.9442,0.44154,0.75879,1.21256,2.0882,0.93795,0.86157,0.15353,0.86157,0.92254,0.82517,-48.93613,86.42954,0.46341,0.75958
